等级,公司名,partnerId,商家数(区间),所在省,所在市,是否有服装客户,行业关键词命中,品牌关键词命中,总命中数,资质标签,详情页链接,简介(前200字)
银牌,苏州小棉袄信息技术股份有限公司,7229553299500958013,小于30家,江苏省,苏州市,否,,,0,全店服务/团长管理,https://fuwu.jinritemai.com/providerHomepage?id=7229553299500958013,苏州小棉袄信息技术股份有限公司是领先的全渠道电子商务运营服务商，总部位于苏州市，员工近500人。拥有中国领先的电商直播基地和运营服务团队，以“做天下网商贴心的小棉袄”为公司使命，为全球品牌进入中国市场提供系统开发、电商咨询、电商培训、电商直播、品牌推广，电商平台搭建、拍摄和页面设计、电商运营，客户服务以及供应链管理、大数据营销等全流程服务。
银牌,厦门超云信息科技有限公司,7128297439731253540,小于30家,福建省,厦门市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7128297439731253540,"紫云创投集团旗下超云科技,成立于2021年,总部位于厦门市集美区。聚焦互联网产业核心,提供一站式电商营销服务。公司现有员工人数超200位,累计服务客户超3000家,其中知名企业超60家。"
银牌,江苏扶楼信息科技有限公司,7023288237456179470,小于30家,江苏省,无锡市,否,,,0,全店服务/视频拍摄/直播代播,https://fuwu.jinritemai.com/providerHomepage?id=7023288237456179470,"江苏扶楼信息科技有限公司集巨量引擎平台综合代理和抖音电商服务商等多种身份于一体，拥抱巨量引擎及其产品矩阵。
企业发展至今，为各大中小型企业在品牌营销、 活动策划、 直播电
商、 广告效果运营、 短视频拍摄等多维度提供整合营销服务。
全面构巨量广告、 抖音电商及本地生活服务商等全方位生态"
银牌,湖北亿玛科技有限公司,7407355520799064357,小于30家,湖北省,鄂州市,否,,,0,视频拍摄/直播代播/全店服务/跨境电商运营/分成结算,https://fuwu.jinritemai.com/providerHomepage?id=7407355520799064357,亿玛在线2004年成立，是一家全域智慧营销服务的互联网科技公司。2020年新媒体事业部成立，拥有经纪公司、MCN公司、直播团队、直播引流团队、小店代运营团队提供短视频、直播自播代播等一站式整合营销方案
银牌,河南朱颜文化传媒有限公司,4239345198836158,小于40家,河南省,郑州市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=4239345198836158,河南朱颜文化传媒有限公司成立于2017年，是河南最早一批加入字节跳动商业化的代理商，2018年至今主营巨量引擎商业广告投放，及投放衍生的周边业务。
银牌,河南牧唐信息技术有限责任公司,7075253421833552159,小于40家,河南省,洛阳市,否,,,0,品牌全案服务/商城服务/全店服务/内容服务,https://fuwu.jinritemai.com/providerHomepage?id=7075253421833552159,牧唐技术，成立于华夏文明发祥地——洛阳，承袭九朝古都帝王之气宇，浸淫千年历史文化之底蕴，国内领先的互联网整合营销服务提供商。我们的业务模式具备精、全、专等星级服务特点，致力于为各类企业提供信息流广告品效合一的精准营销服务。经过团队的专业运营和精准营销，得到了客户的口碑信赖与长期合作，同时凭借创新的广告产品、先进的投放技术、精准的营销策略，实现全媒体覆盖，构筑营销闭环，倾力为客户创造品牌价值，并提供
银牌,青岛聚艺星尚科技有限公司,7361311266876768538,小于40家,山东省,青岛市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7361311266876768538,青岛聚艺星尚科技有限公司是一家集电商直播及广告媒体运营于一身的多元化综合性服务商，成立于2020年8月，致力于抖音平台，为广大客户提供营销策划、广告投放、效果运营、数据分析等多层次服务，目前年投放金额在20亿左右。聚艺星尚分为三大板块，广告代投、素材代拍、自营电商，设有广州、上海、成都三家分公司，目前团队人数100-200人。未来，聚艺星尚也将不断的在团队配置、运营服务、客户整合等方面优化升级，真
银牌,厦门众联世纪股份有限公司,7035852776886321412,小于40家,福建省,厦门市,否,,,0,全店服务/品牌全案服务/视频拍摄,https://fuwu.jinritemai.com/providerHomepage?id=7035852776886321412,厦门众联世纪股份有限公司成立于2013年，注册资金3900万元，是一家全国领先的移动互联网高新技术企业。公司团队人员超500人，众联世纪与三大运营商、各大银行等行业头部企业建立了长期稳定的合作关系；并与“巨量引擎”、“腾讯广告”、“磁力引擎”等国内头部信息流媒体建立了深度合作并获得核心代理资质，众联至今荣获超100项产品荣誉。
银牌,厦门市致易科技有限公司,3834725610830893,小于40家,福建省,厦门市,否,,,0,视频拍摄/全店服务/电商ERP,https://fuwu.jinritemai.com/providerHomepage?id=3834725610830893,公司致力于扶持/孵化商家更好直播，提供各式直播服务、实战辅助、货盘优化、智能云仓等服务。
银牌,杭州紫驰网络科技有限公司,7405319545839173922,小于50家,浙江省,杭州市,否,,,0,视频拍摄/直播代播/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7405319545839173922,紫驰网络成立于2010年10月，致力于为客户提供专业的电子商务咨询和完整的电子商务及新媒体运营解决方案。紫驰系阿里巴巴深度合作的生态公司也是直播电商生态营销全案服务商，业务覆盖阿里集团国际站拍档，阿里集团内贸站渠道及服务业务，蚂蚁集团支付宝码商服务，蚂蚁集团跨境支付等业务，传统电商代运营，新媒体抖音代运营服务商。紫驰网络多次获得阿里巴巴最佳合作伙伴，六星代运营服务商等荣誉，紫驰作为国内领先的代运营
银牌,武汉星河鹭科技有限公司,7005022228148388104,小于50家,湖北省,武汉市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7005022228148388104,武汉星河鹭科技科技有限公司-依托万企利集团资源，顺应抖音“内容+消费”融合发展的趋势，围绕商家GMV销售目标，创新开展“娱播/团播+卖货”结合的商业模式，并为商家提供“达播+短视频投流分销”等服务。
银牌,广州风行互动科技有限公司,7100810842035355934,小于70家,广东省,广州市,否,,,0,内容服务/全店服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=7100810842035355934,"广州风行互动科技有限公司成立于2021年，公司主营新媒体运营服务及达人BD服务，团队核心骨干人员均来自字节跳动、快手、百度等互联网一线媒体平台，拥有丰富的内容创作、营销策划及流量运营经验，
       公司整合过亿粉丝矩阵，拥有经验丰富的视频创作团队，匹配带货类艺人资源、各领域的媒体推广渠道为客户制定个性化全方位服务，致力品宣升级的品效合一模式，协助品牌完成多渠道的全面发展。"
银牌,圣蒙（山东）文化传媒有限公司,7400617694451482891,小于90家,山东省,临沂市,否,,,0,视频拍摄/直播代播/全店服务/内容服务,https://fuwu.jinritemai.com/providerHomepage?id=7400617694451482891,"圣蒙（山东）文化传媒有限公司 于2023年2月成立抖音品牌代播项目部。占地面积1000平米，其中500平米为办公场地，500平米为打品以及代播直播间场地。同时也是抖音电商认证产业带服务商、抖音本地生活认证服务商。
主要经营业务范围：抖音品牌直播代运营代投，巨量千川代理商充值业务，抖音本地生活等。 
我司擅长对商家直播间人货场的搭建，主播话术优化提升，达人分发，品牌推广等多方位运营需求，提供从短视频"
银牌,道有道（成都）数字传媒有限公司,7290570351860089147,小于90家,四川省,成都市,否,,,0,内容服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7290570351860089147,"道有道是中国领先的营销科技集团， 2007年成立，北京，南京、广州、成都四地办公，团队 300 人。
为客户提供抖音平台全链路服务，包括云图、千川、星图、数字人、懂车云等9项服务，涵盖营销策略、短视频内容、广告投放、数字人、达人等服务板块。
服务数百家客户，其中央国企及上市公司100 余家；连续4年，规模客户留存率94%；2025年抖音系广告消耗40亿。
道有道自研dyd-RPA智能投放平台、dy"
银牌,广州天迹浩瀚网络技术有限公司,7343419220883325184,小于100家,广东省,广州市,否,,,0,视频拍摄/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7343419220883325184,广州天迹浩瀚网络技术有限公司隶属于广州天迹集团，集团成立已有17年，从事于新媒体电商运营、直播、投流三大业务。公司多年一直深耕信息流媒体广告业务，同时也秉承“用心创造效果”的服务理念，整合了抖音、头条、快手、微博、知乎等平台资源，组建了专业运营营销团队为企业提供广告投放策略、互联网营销策划、数字化产品运营等服务，发展至今已服务超过10000家客户，与平台、市场、客户一同成长，实现生意增长。在过去的
银牌,热度（杭州）电商科技有限公司,809713668468952,小于100家,浙江省,杭州市,否,,,0,团长商品推广/团长管理/全店服务/内容服务/品牌全案服务/撮合服务商/商家商品推广/机构选品,https://fuwu.jinritemai.com/providerHomepage?id=809713668468952,热度电商成立于2020年8月，是内容电商生态商家链接创作者第一服务商，集商品分发、C2M超级供应链、达人分销SAAS工具、商学苑培训、短视频矩阵的综合性创新型电商企业，致力于打造多元化的电商变现体系。截止目前，已在浙江、河北、江苏、山东、陕西、辽宁、北京等地区 拥有近十家分公司，在职员工1200+。
